Hip,Hab?,Display Name,Spectral Class,Distance,Xg,Yg,Zg,AbsMag
113436,,Hip 113436,K5,134.8,-18,123.5,-50.8,1.372019526
116295,1,Hip 116295,,134.8,42.8,0.9,-127.8,8.56
3354,1,BD+84°12,,135,-67.5,105,51.4,9.58
9800,,Hip 9800,A5,135,-94.1,85.9,-44.4,1.20909104
30411,1,BD+32°1275,,135,-133.3,-2.4,20.7,9.12
38449,,Hip 38449,A0Vn,135,-110.9,34.6,68.6,0.70909104
40632,1,BD+43°1795,,135,-112.4,6.1,74.4,8.73
43106,,Hip 43106,K0III,135,20.8,-130.2,-28.8,1.49909104
49502,1,Hip 49502,,135,-10.1,-126,47.2,8.8
53053,1,BD+62°1147,,135,-70.6,50.2,103.5,10.2
58216,1,BD+59°1408,,135,-52.8,50.6,113.5,8.67
58275,,Hip 58275,G8III,135,55.2,-121,23.2,0.86909104
72536,,Hip 72536,K0III,135,106.8,-61.4,55.1,1.19909104
77412,,Hip 77412,K2III,135,84.4,37.8,98.3,0.32909104
79014,1,BD+61°1568,,135,-4.5,98.5,92.1,9.43
79332,,Hip 79332,A0V,135,85,51,91.6,0.43909104
84553,1,BD+14°3215,,135,96.8,70.6,62.1,8.24
85684,1,Hip 85684,,135,132.9,-22.9,-5.9,8.49
88929,,Hip 88929,K1III:,135,68.1,105.1,50.2,0.70909104
90347,,Hip 90347,A3,135,115.4,68.6,14.1,1.21909104
91852,,Hip 91852,G8,135,52.9,117.5,39.9,0.38909104
94141,,41 Pi Sagittarii,F2II/III,135,126.3,36,-31.1,-2.77090896
103719,1,BD-13°5822,,135,90,65.5,-76.2,9.75
107406,1,Hip 107406,,135,88.1,-11.9,-101.5,9.08
108339,,17 Pegasi,A2Vnn,135,39.1,107.1,-72.2,-0.11090896
108347,,Hip 108347,F2/F3V,135,82.6,7.9,-106.5,0.52909104
113479,1,Hip 113479,,135,68.7,-49.4,-105.1,8.87
113486,1,BD+26°4540,,135,-9.3,117.8,-65.1,8.27
113533,1,BD-16°6188,,135,40.7,48.9,-119,8.76
114694,1,Hip 114694,,135,51.7,2.6,-124.6,9.8
117503,,Hip 117503,G1IIIe,135,-40.5,115.6,-56.6,0.20909104
1777,,Hip 1777,A0V,135.1,48,-59,-111.7,1.646158599
5594,,34 Ceti,K4III,135.1,-40.8,41,-122.1,0.276158599
6284,1,BD-16°224,,135.1,-27.5,12.1,-131.7,10.11
7271,,Hip 7271,G3IV,135.1,53.4,-91.5,-83.9,0.456158599
12770,,89 Pi Ceti,B7IV,135.1,-65,-13.6,-117.7,-1.413841401
13778,1,Hip 13778,,135.1,60.2,-100.4,-67.4,8.93
14357,,Hip 14357,K1III/IV,135.1,-64.1,-30.5,-115,1.796158599
15597,,Hip 15597,K2,135.1,-112.3,32.1,-67.9,1.126158599
24252,,Hip 24252,G5III...,135.1,-133.9,4.6,-17.6,1.126158599
27592,,29 Camelopardalis,A4IV-V,135.1,-119.3,53.3,34.4,0.876158599
32904,1,Hip 32904,,135.1,-52.3,-119.1,-36.6,9.57
33048,,14 Lyncis,G4III...,135.1,-113.8,49.4,53.5,-0.313841401
36025,,Hip 36025,K0,135.1,-85.8,82.5,64,1.576158599
37608,,Hip 37608,G5/G6IV,135.1,-79.4,-109.1,7.6,0.876158599
44484,1,Hip 44484,,135.1,28.4,-128.8,-29.4,9.61
45878,,Hip 45878,K0III,135.1,-6.6,-134.5,11.8,1.616158599
46336,,Hip 46336,A7V,135.1,-42.1,-117.8,51.1,1.306158599
47999,,Hip 47999,A2V,135.1,-16,-128.3,39.3,1.316158599
50976,,Hip 50976,A2/A3V,135.1,51.6,-120.6,-32.6,0.526158599
52647,1,BD+43°2044,,135.1,-66.6,7.4,117.3,9.37
52916,,Hip 52916,B9.5V,135.1,19,-127.2,41.4,1.516158599
56649,,Hip 56649,A0/A1V,135.1,37.7,-119.8,49.9,1.296158599
57611,,Hip 57611,K0III,135.1,17.8,-92.5,96.9,1.196158599
58905,,Kappa Chamaeleontis,K4III,135.1,65.9,-113.4,-32.5,-0.613841401
59883,1,BD+36°2256,,135.1,-25.4,8.9,132.4,9.34
76465,1,BD+04°3038,,135.1,94.7,17.6,94.7,10.52
84857,,Hip 84857,G0III,135.1,96.4,72.6,60.9,1.476158599
87427,,Hip 87427,K0III,135.1,96.7,82.4,46,0.776158599
96155,1,Hip 96155,,135.1,124,10.3,-52.8,9.22
98475,1,Hip 98475,,135.1,118,9.6,-65.1,9.05
100471,1,BD-17°5955,,135.1,107,53.4,-62.9,10
105799,1,Hip 105799,,135.1,93.2,14.2,-96.8,8.81
106934,1,BD+30°4496,,135.1,18.5,128.8,-36.4,8.69
110383,,Hip 110383,A7V,135.1,24.9,108.1,-77.2,1.286158599
5565,1,Hip 5565,,135.3,47.1,-80,-98.5,9.4
11043,,Hip 11043,K0III,135.3,-9.7,-55.1,-123.2,0.643222192
13591,1,Hip 13591,,135.3,-15.2,-66.9,-116.6,9.52
14036,,Hip 14036,K6,135.3,-99.8,23.4,-88.3,0.273222192
16015,,Hip 16015,A1V,135.3,-29.1,-71.3,-111.2,0.673222192
18070,,Hip 18070,A3,135.3,-96.5,90.1,29.8,1.833222192
21640,,Hip 21640,B9,135.3,-102.9,-47.4,-74,1.613222192
22834,,Hip 22834,K1III,135.3,-123.3,-25,-49.8,-0.326777808
39179,1,BD+52°1268,,135.3,-112.4,26.3,70.7,9.13
43991,1,Hip 43991,,135.3,-19,-133.7,8.9,9.45
45125,,Hip 45125,B9V,135.3,9.7,-134.6,-9.3,1.073222192
49129,,Hip 49129,K1III,135.3,-30,-114,66.5,1.813222192
76095,1,Hip 76095,,135.3,117.5,-61.1,27.8,8.3
76310,,Hip 76310,A0V,135.3,118.3,-35.7,55.1,1.653222192
80076,1,BD+41°2693,,135.3,40.2,86.4,96.1,8.72
84646,1,BD+43°2714,,135.3,41.6,103.3,76.9,9.96
86989,1,Hip 86989,,135.3,113.9,-62.2,-38.3,9.25
90191,,2 Mu Lyrae,A3IVn,135.3,48.4,115.9,50.2,-0.546777808
91589,,Hip 91589,A1/A2IV/V,135.3,126.3,-25.5,-41.3,1.143222192
94510,,Hip 94510,A0/A1V,135.3,126.3,34.6,-34.2,1.323222192
98342,,Hip 98342,A7V,135.3,83.8,104,-21.9,1.743222192
106592,,Hip 106592,G9III:,135.3,68.1,82.3,-83.1,0.133222192
107516,,Hip 107516,M8IIIvar,135.3,61.3,85,-85.7,0.863222192
110612,1,BD-08°5865,,135.3,49.8,70.4,-104.3,9.69
110734,1,BD+20°5151,,135.3,14,116,-68.3,8.92
114513,1,BD+03°4833,,135.3,12.6,85.3,-104.3,9.93
1319,,36 Piscium,G8II-III,135.5,-25.2,76.3,-109.1,0.460281809
4442,,Hip 4442,A2/A3V,135.5,-4.7,1.9,-135.4,1.530281809
6214,1,Hip 6214,,135.5,9.5,-37.2,-129.9,9.7
8886,,45 Epsilon Cassiopeiae,B2pvar,135.5,-86.8,104,3.9,-2.309718191
10536,,Hip 10536,F6/F7IV,135.5,7.5,-66.6,-117.8,1.630281809
13275,,Hip 13275,K2,135.5,-107.9,65.4,-49.5,0.850281809
13887,,Hip 13887,K0,135.5,-109.4,73.3,-32,0.990281809
15586,1,BD+22°475,,135.5,-113.8,36.7,-63.8,8.48
16313,1,BD-03°564,,135.5,-95,-12.4,-95.9,9.44
17059,1,BD+08°544,,135.5,-110.1,5.3,-78.7,8.79
19468,1,BD+24°628,,135.5,-126,22.6,-44.3,9.92
41280,,Hip 41280,G8III,135.5,-59.5,-119.9,21.2,1.270281809
41513,1,BD+22°1935,,135.5,-108.1,-43.8,69,9.65
43382,1,BD+54°1259,,135.5,-101.4,28.8,85.1,9.76
45307,1,BD+31°1952,,135.5,-96.2,-24.9,92.1,9.56
46064,,Hip 46064,K0III,135.5,-71.5,-85.6,76.9,1.750281809
47654,,27 Ursae Majoris,K0III,135.5,-80.9,69.2,83.9,-0.509718191
59060,1,BD-08°3288,,135.5,21.5,-80.8,106.6,8.64
62869,1,BD+59°1472,,135.5,-38.4,60.2,115.2,8.29
72363,1,BD+26°2602,,135.5,47,36.2,121.8,10.4
72664,,Hip 72664,K4III,135.5,-12.5,82.9,106.4,-0.179718191
76856,1,Hip 76856,,135.5,120.7,-50.7,34.8,9.65
77118,,Hip 77118,K2,135.5,79.3,41.5,101.8,1.330281809
79686,,Hip 79686,K2,135.5,67.1,68.6,95.7,0.480281809
80142,,Hip 80142,B7V,135.5,122.7,-57.5,2.9,0.850281809
91385,1,BD+53°2109,,135.5,15.1,123.4,54,8.4
101281,1,Hip 101281,,135.5,110.3,12.3,-77.7,9.77
105891,,Hip 105891,B6V,135.5,-11.6,135,3.7,0.350281809
111490,1,Hip 111490,,135.5,64.2,20.9,-117.5,10.69
112259,,Hip 112259,F3V,135.5,72.5,-47.3,-104.3,0.630281809
114453,,Hip 114453,F0V,135.5,47.9,18.2,-125.4,0.870281809
114700,,Hip 114700,A2,135.5,19.2,72.9,-112.6,1.480281809
116392,1,Hip 116392,,135.5,31.5,25.8,-129.2,10.51
798,,Hip 798,A6V,135.7,52.3,-59.8,-110,0.677337439
4085,1,Hip 4085,,135.7,-5.1,6.9,-135.4,9.98
5641,1,Hip 5641,,135.7,24.2,-51.6,-123.1,9.54
9865,,Hip 9865,G5,135.7,-66.6,22,-116.2,1.827337439
10963,,Hip 10963,K0III,135.7,-47.8,-15.9,-126,0.867337439
23995,,Hip 23995,G8V,135.7,-114.7,-48,-54.2,0.927337439
30372,,Hip 30372,Ap...,135.7,-58.3,-112.9,-47.6,0.867337439
35176,1,Hip 35176,,135.7,-54.9,-121.9,-23.4,9.63
48896,1,Hip 48896,,135.7,16.1,-134.4,8.9,8.9
52251,1,BD+55°1402,,135.7,-72.8,34.5,109.2,9.75
53778,,Hip 53778,K5III,135.7,-6.7,-102.6,88.6,0.197337439
56581,1,BD+34°2235,,135.7,-40.1,-5.5,129.5,9.92
61959,,Hip 61959,F0/F2IV,135.7,71.7,-115.1,-4.4,1.707337439
64146,1,Hip 64146,,135.7,77.6,-108,27,9.1
66114,,Hip 66114,G8III/IV,135.7,72.9,-70.1,90.4,1.467337439
66479,1,BD+12°2609,,135.7,41.7,-15.2,128.2,9.18
68235,1,BD+64°978,,135.7,-30.2,78.3,106.6,8.88
69919,1,BD+46°1956,,135.7,3.7,58.6,122.3,8.58
69933,,Hip 69933,A2,135.7,81,-33,103.7,1.777337439
70642,1,BD+18°2882,,135.7,53.7,13.6,123.9,9.97
77876,1,BD-04°3996,,135.7,110.5,7.2,78.4,10.28
79745,1,Hip 79745,,135.7,123,-57,6.3,10.06
80084,1,BD+50°2276,,135.7,21.3,94.6,94.9,9.15
81735,1,BD-13°4478,,135.7,126.2,10.1,48.7,9.63
82022,,Hip 82022,K2III/IV,135.7,132.1,-21.2,22.5,1.327337439
90404,1,BD+08°3696,,135.7,106.4,81.4,21.5,8.8
90780,,Hip 90780,A8m,135.7,-11.3,120.8,60.7,0.937337439
94107,,Hip 94107,K1III,135.7,123.1,51.9,-23.6,1.407337439
94799,,Hip 94799,K1III,135.7,43.4,125.4,28.5,0.907337439
96496,,Hip 96496,K0III,135.7,120.2,46.7,-42.1,-0.002662561
97122,,Hip 97122,A2III,135.7,-25,124.4,48.1,0.237337439
106140,,2 Pegasi,M1III,135.7,34.4,123,-45.8,-1.142662561
115954,1,BD-14°6477,,135.7,23.2,49.1,-124.3,10.08
9285,,Hip 9285,A0V,135.9,-29.4,-20,-131.1,1.124389072
13540,,Hip 13540,K0,135.9,-105.9,83.4,-16.9,0.884389072
14970,,Hip 14970,K2III,135.9,-65.3,-35.1,-113.8,1.074389072
18033,,Hip 18033,B9p Si,135.9,-116.6,7.9,-69.4,0.634389072
19049,,Hip 19049,A0,135.9,-104.7,-25,-82.9,1.404389072
19311,1,Hip 19311,,135.9,-37.6,-83.7,-100.2,9.18
19354,,Hip 19354,B9,135.9,-97.3,-37.2,-87.2,1.484389072
19705,1,Hip 19705,,135.9,-23.7,-91.6,-97.5,9.31
21452,,Hip 21452,A1V,135.9,-108.5,77.3,26.6,0.244389072
22220,,Hip 22220,G9III,135.9,-130.2,38,-7.6,0.324389072
23090,,Hip 23090,A2IV,135.9,-92.4,-68,-72.8,1.004389072
27670,,Hip 27670,K0IIICN...,135.9,-83.9,-92.9,-52.9,0.494389072
29365,,Hip 29365,Ap...,135.9,-95.8,-88.9,-37.1,1.114389072
40621,,Hip 40621,A0V,135.9,7.5,-132.3,-29.9,1.334389072
41514,1,BD+42°1873,,135.9,-111.1,1.4,78.2,8.42
46554,,Hip 46554,F3Ib,135.9,8.6,-135.6,1,1.444389072
50165,1,BD+50°1729,,135.9,-80,21.3,107.8,8.98
57189,,Hip 57189,A8/A9III/IV,135.9,60.8,-120.6,-15.2,1.324389072
58765,,Hip 58765,A7III,135.9,55.1,-119.8,32.6,0.944389072
60316,,Hip 60316,G5,135.9,-48.9,60.3,111.6,1.074389072
60823,,Sigma Centauri,B3V,135.9,64.5,-115.9,29.3,-1.755610928
65822,,Hip 65822,A1V,135.9,83.7,-101.4,34,1.274389072
69711,,Hip 69711,F0...,135.9,-15.1,72.9,113.7,1.404389072
73176,1,BD+59°1621,,135.9,-10,83.6,106.7,9.27
75228,1,Hip 75228,,135.9,113.6,-72.1,18.9,9.47
75272,,Hip 75272,K0III,135.9,116.4,-46,52.9,0.834389072
75346,1,BD+63°1195,,135.9,-14.5,92.5,98.5,8.21
76651,,Hip 76651,K1III,135.9,-1.9,91.7,100.3,0.784389072
76773,,Hip 76773,A0,135.9,41.6,70.1,108.7,1.494389072
78568,1,Hip 78568,,135.9,103.2,-85.1,-24.2,8.53
79013,1,BD-15°4250,,135.9,121.9,-6.4,59.6,8.58
85233,1,BD+44°2706,,135.9,38.1,106.5,75.2,11.05
89580,1,BD+61°1737,,135.9,-1.1,120.3,63.1,9.84
101202,1,Hip 101202,,135.9,110.8,4.2,-78.6,9.55
102855,1,Hip 102855,,135.9,84.8,-74.8,-75.3,8.4
105744,1,BD+12°4624,,135.9,51.6,111,-59,8.61
107029,1,Hip 107029,,135.9,81.3,-69.8,-83.6,9.23
109994,1,BD-11°5791,,135.9,56.9,65.4,-104.6,9.19
113096,,Hip 113096,A3,135.9,-57.6,117.9,35.3,1.774389072
114148,,Hip 114148,K0,135.9,16.4,84.5,-105.2,1.314389072
118074,1,Hip 118074,,135.9,39,-16.3,-129.1,8.77
101,1,Hip 101,,136.1,43.3,-30.4,-125.4,9.88
1375,1,Hip 1375,,136.1,49.9,-59.1,-112,8.5
7016,,Hip 7016,K2III,136.1,-18.1,-10.1,-134.5,0.251436695
7710,,Hip 7710,K0,136.1,-71.2,59.6,-99.5,1.071436695
8480,,Hip 8480,K2/K3III,136.1,-18.4,-25.1,-132.4,0.681436695
16231,1,BD-09°677,,136.1,-86.6,-23.2,-102.3,9.71
18908,,Hip 18908,G5,136.1,-125.3,45.4,-27.2,1.621436695
