Hip,Hab?,Display Name,Spectral Class,Distance,Xg,Yg,Zg,AbsMag
0,1,Sun (Sol),G2V,0,0,0,0,4.85
70890,,Proxima Centauri,M5Ve,1.3,0.9,-0.9,0,15.48901452
71681,,Rigel Kentaurus B,K1V,1.3,1,-0.9,0,5.69237068
71683,,Rigel Kentaurus A,G2V,1.3,1,-0.9,0,4.36237068
87937,,Barnard's Star,sdM4,1.8,1.5,0.9,0.4,13.24790128
0,,Gl 406,M6,2.4,-0.6,-1.2,2,16.55743932
54035,,Lalande 21185,M2V,2.5,-1.1,-0.1,2.3,10.44864499
0,,Gl 65,dM5.5e,2.6,-0.6,0.1,-2.5,15.47291438
0,,Gl 65 B,dM5.5e,2.6,-0.6,0.1,-2.5,15.60291438
0,,Gl 244 B,DA2,2.6,-1.8,-1.9,-0.4,11.33439891
32349,,Sirius,A0m...,2.6,-1.8,-1.9,-0.4,1.464398907
92403,,Gl 729,M3.5Ve,3,2.9,0.6,-0.5,13.09479628
0,,Gl 905,dM6 e,3.2,-1,2.8,-0.9,14.78568497
16537,,18 Epsilon Eridani,K2V,3.2,-2.1,-0.6,-2.4,6.192055687
57548,1,Gl 447,M4.5V,3.3,0,-1.7,2.9,13.50256408
114046,,Lacaille 9352,M2/M3V,3.3,1.3,0.1,-3,9.7536535
0,,Gl 866,M5 e,3.4,1.3,1.4,-2.8,15.00395131
0,,Gl 280 B,DA,3.5,-2.8,-1.9,0.8,12.98129862
37279,,Procyon,F5IV-V,3.5,-2.8,-1.9,0.8,2.661298621
91772,,Gl 725 B,K5,3.5,0,3.2,1.4,11.9802587
104214,,61 Cygni,K5V,3.5,0.5,3.4,-0.4,7.500392855
104217,,61 Cygni,K7V,3.5,0.5,3.5,-0.4,8.307422009
0,,Gl 15 B,M6 Ve,3.6,-1.5,3,-1.1,13.29788307
0,,GJ 1111,M6.5,3.6,-2.9,-0.9,1.9,17.01297131
1475,,Gl 15,M1V,3.6,-1.5,3,-1.1,10.31788307
8102,,52 Tau Ceti,G8V,3.6,-1,0.1,-3.5,5.68009966
91768,,Gl 725,K5,3.6,0,3.3,1.5,11.13796054
108870,,Epsilon Indi,K5V,3.6,2.2,-1,-2.7,6.892656352
36208,1,Luyten's Star,M5,3.8,-3.2,-2,0.7,11.95192438
24186,,Kapteyn's Star,M0V,3.9,-1.1,-3,-2.3,10.88491382
105090,1,Lacaille 8760,M1/M2V,3.9,2.8,0.2,-2.8,8.688775957
0,,Gl 860 B,M6 V,4,-1,3.9,0,13.28552681
110893,,Krüger 60,M2V,4,-1,3.9,0,11.83552681
0,,Gl 234 B,,4.1,-3.4,-2.2,-0.4,16.52704817
30920,,Gl 234,M4.5Ve,4.1,-3.4,-2.2,-0.4,13.05704817
0,,GJ 1061,M4.5,4.3,-0.8,-2.5,-3.4,14.86677961
0,,Gl 473,dM5.5eJ,4.3,0.4,-1.3,4.1,14.86931108
0,,Gl 473 B,M7,4.3,0.4,-1.3,4.1,15.12931108
72511,,Gl 563.2B,M,4.3,3.3,-1.6,2.1,13.91755585
80824,1,BD-12°4523,M4,4.3,3.9,0.2,1.7,11.93080683
439,,Gl 1,M2V,4.4,1,-0.3,-4.2,10.34230436
3829,,Van Maanen's Star,DG,4.4,-1.3,2,-3.7,14.15965094
15689,,Hip 15689,,4.4,-2.5,-0.9,-3.5,13.94442971
0,,Gl 83.1,dM8 e,4.5,-2.6,1.6,-3.2,14.02930041
0,,NN 3522,k,4.5,-2.9,-2.4,2.4,12.64124009
0,,NN 3618,m,4.5,1.4,-4.3,-0.2,15.65957593
0,,NN 3622,M6.5,4.5,-0.5,-3.4,3,17.32196137
72509,,Gl 563.2,M,4.5,3.5,-1.7,2.2,13.38980771
85523,1,Gl 674,K5,4.5,4.3,-1.3,-0.5,11.0863535
86162,,Gl 687,M3.5Vvar,4.5,-0.6,3.8,2.4,10.90048702
57367,,Gl 440,DC:,4.6,2,-4.1,-0.2,13.17628628
114110,,Hip 114110,,4.6,1.2,1.7,-4.1,13.91749009
0,,GJ 1002,M5-5.5,4.7,-0.1,1.8,-4.3,15.38985812
0,,GJ 1245,M5.5 V e,4.7,0.9,4.6,0.7,15.0416793
0,,GJ 1245 B,m,4.7,0.9,4.6,0.7,15.6416793
113020,,Gl 876,M5,4.7,1.5,1.9,-4.1,11.80873536
0,,Gl 412 B,M6 e,4.8,-2.1,0.4,4.3,15.97922222
54211,,Gl 412,M2Vvar,4.8,-2.1,0.4,4.3,10.31922222
0,,Gl 388,M4.5Ve,4.9,-2.3,-1.7,4,10.94708613
49908,,Groombridge 1618,K8V,4.9,-2.9,0.7,3.8,8.151098416
82725,,Hip 82725,,4.9,4.1,-2.6,-1,13.25758716
85605,,Hip 85605,,4.9,2.9,3.2,2.3,12.92416161
106440,1,Gl 832,M1V,4.9,3.3,-0.6,-3.6,10.20244681
0,,Gl 166 B,DA4,5,-3.7,-1.4,-3.1,11.00595645
0,,Gl 166 C,dM4.5e,5,-3.7,-1.4,-3.1,12.65595645
19849,,40 Omicron 2 Eridani,K1V,5,-3.7,-1.4,-3.1,5.915956445
86214,1,Gl 682,M5,5,4.9,-1.2,-0.6,12.43683257
112460,,Gl 873,M4.5Ve,5,-0.9,4.8,-1.1,11.74409351
0,,Gl 702 B,K5 Ve,5.1,4.3,2.5,1,7.468138459
88601,,70 Ophiuchi,K0V SB,5.1,4.3,2.5,1,5.678138459
97649,,Altair,A7IV-V,5.1,3.4,3.8,-0.8,2.213928062
0,,GJ 1116,m,5.2,-3.7,-1.9,3.1,15.46857485
0,,GJ 1116 B,m,5.2,-3.7,-1.9,3.1,16.32857485
1242,,GJ 1005,M:,5.2,0.1,1.2,-5.1,13.4449222
0,,NN 3379,M4,5.4,-4.8,-2.2,-0.9,12.68106427
57544,,Gl 445,M4,5.4,-2.5,3.4,3.3,12.14148544
67155,1,BD+15°2620,M3V,5.4,1.6,-0.2,5.2,9.785622766
0,,Gl 169.1B,DC5,5.5,-4.6,2.9,0.7,13.73270754
21088,,Gl 169.1,,5.5,-4.6,2.9,0.7,12.37270754
33226,1,Hip 33226,K:...,5.5,-5.3,-0.3,1.4,11.18222855
103039,1,Hip 103039,,5.5,3.9,2.3,-3.1,12.71214588
53020,,Gl 402,M4:,5.6,-1.5,-2.9,4.6,12.89550239
0,,Gl 644 B,,5.7,5.3,1,2.1,11.10561468
0,,Gl 644 C,M7,5.7,5.3,1,2.1,17.98561468
0,,Gl 754,M4.5,5.7,5.2,-0.7,-2.3,13.45385881
25878,1,BD-03°1123,M1V,5.7,-4.8,-2.4,-1.9,9.184105973
82817,,Gl 644,M3Ve,5.7,5.3,1,2.1,10.89561468
0,,Gl 251,dM4,5.8,-5.6,-0.3,1.5,11.2077486
26857,,Gl 213,M5,5.8,-5.6,-1.4,-0.9,12.71746735
29295,1,BD-21°1377,M1/M2V,5.8,-3.6,-4.1,-1.8,9.332614061
86990,1,Gl 693,M5,5.8,5.1,-2.4,-1.5,11.92865199
96100,,61 Sigma Draconis,K0V,5.8,-1,5.2,2.1,5.875370691
0,,Gl 300,M4,5.9,-2.8,-5.1,0.7,13.25224461
0,,Gl 752 B,dM5 e,5.9,4.5,3.8,-0.3,18.67556315
37766,,Gl 285,M4.5Ve,5.9,-4.7,-3.4,1.4,12.33415905
73184,,Gl 570,K4V,5.9,4.6,-1.8,3.2,6.893541299
76074,1,Gl 588,M0,5.9,5.2,-2.7,1.2,10.44325725
94761,,Gl 752,M3.5V,5.9,4.5,3.8,-0.3,10.26556315
0,,Gl 34 B,K7 V,6,-3.2,5,-0.5,8.63641715
0,,36 Ophiuchi,K1 Ve,6,5.9,-0.2,0.7,6.184622333
3821,,24 Eta Cassiopeiae,G0V SB,6,-3.2,5,-0.5,4.57641715
84405,,36 Ophiuchi,K2:III:,6,5.9,-0.2,0.7,6.224622333
84478,,Gl 664,K5V,6,5.9,-0.2,0.7,7.450851758
117473,,Gl 908,M2V,6,-0.2,3.3,-5,10.10020369
0,,NN 3323,m,6.1,-4.9,-2.4,-2.8,13.16093802
0,,GJ 1221,DXP9,6.1,-1,5.2,3.1,15.208272
0,,Gl 783 B,M3.5,6.1,5.2,0.5,-3.1,12.59057593
15510,,82 Eridani,G8V,6.1,-1.1,-3.2,-5,5.347682914
71253,1,BD-11°3759,M4,6.1,4.1,-1.6,4.2,12.37772159
99240,1,Delta Pavonis,G5IV-Vvar,6.1,4.5,-2.6,-3.3,4.630641309
99461,,Gl 783,K2V,6.1,5.2,0.5,-3.1,6.410575932
0,,NN 3454,m,6.2,-5.1,-3.2,1.4,14.26757507
0,,GJ 1128,m,6.2,1.8,-5.8,-1.3,13.81412938
0,,NN 3877,dM8,6.2,5,-2.4,2.8,18.08412938
0,,Gl 896 B,dM6 e,6.2,-0.7,4.8,-3.9,13.42141406
45343,,Gl 338,M0V,6.2,-4.4,1.2,4.2,8.662072405
86961,,Hip 86961,M2V:,6.2,6.2,-0.3,-0.2,11.53448993
86963,,Hip 86963,M2V:,6.2,6.2,-0.3,-0.2,12.43448993
99701,1,Gl 784,M0V,6.2,5.2,-0.5,-3.4,9.00642103
116132,,Gl 896,M6Ve,6.2,-0.7,4.8,-3.9,11.40141406
0,,Gl 661 B,M3.5,6.3,1.6,4.8,3.7,11.39562057
74995,1,BD-07°4003,M5,6.3,4.8,-0.5,4,11.5740757
84140,1,BD+45°2505,K5,6.3,1.6,4.8,3.7,10.95562057
120005,,Gl 338 B,K2,6.3,-4.5,1.2,4.3,8.723531135
0,,GJ 2097,m,6.4,0.7,-0.4,6.4,13.54562299
34603,,Gl 268,M5Ve,6.4,-6,0.1,2.2,12.47281518
54298,,Hip 54298,,6.4,1.9,-6.1,0.7,12.64557761
0,,Gl 223.2,DZ9,6.5,-5.4,-3.1,-1.6,15.39885478
0,,GJ 1156,dM e,6.5,0.2,-2,6.2,14.73203743
82809,,Gl 643,M4,6.5,5.9,1.2,2.3,12.73703951
114622,,Gl 892,K3Vvar,6.5,-2.2,6.1,-0.4,6.486860717
53767,1,Gl 408,M3,6.6,-2.3,-1.7,6,10.91430944
80459,1,Gl 625,M2,6.6,0.6,4.8,4.5,11.02821769
0,,Gl 566 B,K4 Ve,6.7,3,1.3,5.9,7.839717186
72659,,37 Xi Boötis,G8V + K4V,6.7,3,1.3,5.9,5.569717186
106106,1,Gl 829,M4,6.7,2.2,5.8,-2.7,11.15555933
0,,Gl 299,dM5,6.8,-5.2,-3.5,2.5,13.68130858
0,,NN 4285,m,6.8,3.7,-2.9,-4.9,12.28658667
114176,,Hip 114176,,6.8,2.6,0.6,-6.2,13.13057485
0,,Gl 293,DQ9,6.9,1.2,-6.4,-2.3,14.88234266
113296,1,BD+15°4733,M2:,6.9,0.3,5.4,-4.3,9.480879683
0,,Gl 667 B,K5 V,7,6.9,-1,0.2,7.983502763
0,,Gl 667 C,M2.5,7,6.9,-1,0.2,11.02350276
84709,,Gl 667,K4V,7,6.9,-1,0.2,7.073502763
103096,,Gl 809,M2V,7,-1,6.8,1.4,9.310676984
0,,Gl 105 B,dM4.5,7.2,-4.7,1.4,-5.3,12.3706954
0,,NN 3737,M4,7.2,3.3,-5.7,3,13.455074
0,,GJ 1286,M5,7.2,0.4,3.7,-6.2,15.39881615
12114,,Gl 105,K3V,7.2,-4.7,1.4,-5.3,6.530695401
51317,1,BD+01°2447,M2,7.2,-2.1,-4.5,5.3,10.34395388
0,,NN 4053,m,7.3,-0.7,6.4,3.4,14.16835269
83945,,NN 3991,M3,7.3,2.1,5.5,4.3,12.49687632
0,,GJ 1230,k-m,7.4,4.2,5.8,1.7,13.06769454
0,,GJ 1230 B,m,7.4,4.2,5.8,1.7,14.66769454
0,,GJ 2005,M5.5,7.5,0.7,0.4,-7.5,16.03599038
0,,GJ 1224,m,7.5,7.3,1.8,0.3,14.24435461
0,,NN 4274,M4,7.5,3.3,2.8,-6.1,13.88714389
2021,1,Beta Hydri,G2IV,7.5,3.3,-4.7,-4.8,3.431955958
3765,1,BD+04°123,K2V,7.5,-2.1,3.4,-6.3,6.376172096
7981,,107 Piscium,K1V,7.5,-4.2,3.7,-4.9,5.85406505
73182,1,BD-20°4123,K5V,7.5,5.8,-2.3,4,8.629519842
0,,Gl 53 B,,7.6,-4.3,6.1,-1,11.60943993
0,,NN 3193 B,M3,7.6,-3.8,-1.4,-6.5,12.38635648
0,,NN 3378,m,7.6,-6.5,3.2,2.2,12.31615728
5336,,30 Mu Cassiopeiae,G5Vp,7.6,-4.3,6.1,-1,5.779439926
12781,,Gl 109,M3.5Ve,7.6,-5.8,3,-3.9,11.17976792
65859,1,BD+11°2576,M1V,7.6,2.2,-1.1,7.2,9.638344703
113283,,Gl 879,K4Vp,7.6,3.1,0.9,-6.9,7.065361683
61874,1,Gl 480.1,M4,7.7,3.7,-6.2,2.5,12.81838533
85295,1,BD+02°3312,K7V,7.7,6.6,3,2.6,8.092019464
113368,,Fomalhaut,A3V,7.7,3.1,1.1,-7,1.731052641
0,,NN 3417,m,7.8,-6.3,3.1,3.2,14.20294855
0,,GJ 1093,m,7.8,-7.3,-2.2,1.4,15.38126459
0,,Gl 915,DA5,7.8,2.2,-1.2,-7.4,13.58944013
49986,1,BD-03°2870,M3,7.8,-2.5,-5.4,5.1,9.805880195
88574,1,BD-03°4233,M2V,7.8,7,3.2,1.2,9.920794756
91262,,Vega,A0Vvar,7.8,2.8,6.8,2.6,0.581769913
0,,NN 3789,M4 e,7.9,0.8,1,7.8,12.45185273
0,,GJ 1087,DAP9,8,-7.3,-2.9,-1.3,14.58628655
0,,Gl 257 B,M3,8,-2.1,-7.4,-2.4,12.17793873
0,,Gl 831 B,,8,4.5,4.2,-5.1,15.38142089
22449,,1 Pi 3 Orionis,F6V,8,-7.2,-1.5,-3.1,3.667590212
33499,1,Gl 257,M4+...,8,-2.1,-7.4,-2.4,11.97793873
80346,,Gl 623,M3,8,1.5,5.6,5.6,10.75305432
101180,1,Gl 793,M3,8,-1.3,7.6,2.1,11.05529395
106255,,Gl 831,M4e...,8,4.5,4.2,-5.1,12.53142089
0,,Gl 66,K2 V,8.1,1.4,-3.9,-7,6.245107504
0,,GJ 2034,DA8,8.1,-1.4,-5.6,-5.7,14.80952556
0,,GJ 1123,m,8.1,2.9,-7.1,-2.7,13.54952556
0,,Gl 493.1,dM5 e,8.1,1.9,-2.3,7.6,13.84599183
0,,NN 4063,M3 p,8.1,2.8,7.1,2.8,11.88710843
0,,GJ 1276,DZ9+,8.1,2,4.1,-6.6,16.12060798
0,,GJ 1289,k,8.1,-2.3,7,-3.3,13.01952556
4856,,Gl 48,M3.5e,8.1,-4.5,6.7,1.3,10.48546128
5496,,Gl 54,K,8.1,2.6,-4.6,-6.2,10.24705255
7751,,p Eridani,K0V,8.1,1.4,-3.9,-7,6.345107504
86287,1,BD+18°3421,M1,8.1,5.5,5,3.3,10.06987861
89937,,44 Chi Draconis,F7Vvar,8.1,-1.7,6.9,3.8,4.039033878
113576,1,Gl 884,K5/M0V,8.1,2.8,2.1,-7.3,8.325991834
0,,GJ 1151,m,8.2,-2.9,1.8,7.5,13.67823644
0,,Gl 518,DZ9,8.2,3.1,-1.8,7.4,15.08535603
0,,GJ 1227,m,8.2,-0.2,7.3,3.8,13.829304
0,,Gl 747,M3.5 J,8.2,3.5,7.2,1.6,12.30245235
0,,Gl 747 B,M5 K,8.2,3.5,7.2,1.6,12.60245235
38956,,GJ 1105,M4V,8.2,-7.1,0.2,4,12.44121217
62452,1,Gl 486,M4,8.2,1.2,-2.1,7.8,11.80787985
76901,,Gl 595,M5,8.2,7.1,-1.4,3.8,12.29930587
93449,,Hip 93449,A5IIevar,8.2,7.8,0,-2.5,11.99734485
0,,Gl 232,M4.5,8.3,-8.2,-1.3,0.7,13.45590623
20968,,Hip 20968,,8.3,-4.1,-4.6,-5.6,11.82853635
0,,Gl 438,K0,8.4,3.2,-7.7,1.4,10.73773481
0,,Gl 695 B,M3 J,8.4,4.6,6,3.6,10.728647
0,,Gl 695 C,M4 K,8.4,4.6,6,3.6,11.178647
31292,,Hip 31292,,8.4,2.1,-7.1,-3.8,11.79756626
61317,1,8 Beta Canum Venaticorum,G0V,8.4,-1.5,1.5,8.1,4.656112552
86974,,86 Mu Herculis,G5IV,8.4,4.6,6,3.6,3.798646999
0,,NN 3076,m,8.5,-3.7,4.4,-6.2,14.71941004
0,,NN 3146,m,8.5,-5.4,2.8,-5.9,16.15308738
0,,GJ 1057,m,8.5,-6.2,0.5,-5.8,14.16124949
0,,Gl 185 B,,8.5,-5.3,-4.8,-4.6,10.84797053
0,,GJ 1154,m,8.5,0.9,-3.9,7.5,14.09308738
0,,Gl 618 B,M5 :,8.5,8,-2.5,1.3,14.50996204
23452,1,BD-21°1051,M0V,8.5,-5.3,-4.8,-4.6,8.807970526
64924,1,61 Virginis,G5V,8.5,4.1,-4.6,5.9,5.086490061
80018,,Gl 618,M4,8.5,8,-2.5,1.3,10.95996204
0,,NN 3517,m,8.6,-4.8,-6.1,3.6,19.13721421
0,,Gl 867 B,dM4 e,8.6,3.5,2.7,-7.4,11.76685447
1599,1,Zeta Tucanae,F9V,8.6,3.3,-4.2,-6.8,4.549391764
57802,1,BD+36°2219,M1V,8.6,-2.2,0.1,8.3,10.06944403
93873,,Gl 745,M2,8.6,5.1,6.9,0.9,11.08060453
111802,,Gl 867,M0Vpe,8.6,3.5,2.7,-7.4,9.416854468
113229,,Gl 877,K,8.6,4.4,-4.9,-5.5,10.72266431
0,,Gl 250 B,M2,8.7,-6.9,-5.3,-0.3,10.39235596
0,,NN 3839,m,8.7,1.8,2.2,8.2,13.4034892
14559,,GJ 1054 B,,8.7,-3.2,-3,-7.5,13.38838497
25578,1,Gl 203,M5,8.7,-8.2,-2.1,-2.1,12.78424437
27913,,54 Chi 1 Orionis,G0V,8.7,-8.6,-1.3,-0.4,4.711593478
32984,1,BD-05°1844,K3V,8.7,-6.9,-5.3,-0.3,6.892355964
0,,GJ 1103,m,8.8,-6.6,-5.5,2,13.78071131
0,,GJ 1103 B,m,8.8,-6.6,-5.5,2,15.28071131
0,,GJ 2069 B,,8.8,-6.8,-3.2,4.4,13.60452426
0,,NN 3667,DC8,8.8,-1.8,-2.5,8.2,14.07452426
0,,Gl 666 B,M0 V,8.8,8.3,-2.7,-0.8,8.970902117
0,,Gl 791.2,dM6 e,8.8,5,6.7,-2.5,13.33833052
23311,,Gl 183,K3V,8.8,-7.1,-3.3,-4,6.494213896
31293,,Hip 31293,,8.8,2.2,-7.5,-4,10.63795019
84720,,Gl 666,M0V,8.8,8.3,-2.7,-0.8,5.810902117
99825,1,Gl 785,K3V,8.8,7.4,2.1,-4.3,6.001724444
109388,1,BD-05°5715,M3,8.8,3.5,5.1,-6.2,10.65395274
0,,NN 3128,m,8.9,-5.1,2.9,-6.7,15.85609011
0,,Gl 283,DZQ6,8.9,-5.2,-7.2,0.4,13.24609011
0,,Gl 283 B,m,8.9,-5.2,-7.2,0.4,16.66609011
0,,Gl 318,DA6,8.9,-2.4,-8.5,0.9,12.13189878
0,,NN 3707,m,8.9,1.9,-5.8,6.5,12.30609011
0,,NN 3820,K2 :,8.9,5.5,-4,5.8,13.24609011
60559,,Gl 465,M4,8.9,2.6,-5.8,6.2,11.53614862
93899,,Gl 745 B,M2,8.9,5.3,7.1,0.9,11.01193048
0,,Gl 51,M5,9,-5.1,7.4,-0.1,13.88465773
0,,Gl 216 B,K2 V,9,-5.6,-6,-3.7,6.366179577
0,,NN 4360,m,9,1.2,2.6,-8.5,14.72661489
17378,,23 Delta Eridani,K0IV,9,-6,-2,-6.5,3.748382928
27072,,13 Gamma Leporis,F7V,9,-5.6,-6,-3.7,3.816179577
47103,1,Gl 357,K,9,-2.3,-8,3.4,11.15462087
56528,1,Gl 433,M2V,9,2.1,-7.7,4.2,10.04975709
108706,,NN 4247,,9,1,8.3,-3.2,12.24773717
55360,,Gl 424,M1Vvar,9.1,-4.4,4.1,6.8,9.515976168
66906,,NN 3801,M:,9.1,0.8,1.8,8.9,12.17479087
82724,,Hip 82724,Mp,9.1,7.5,-4.8,-1.9,12.04845831
0,,NN 3421,M4.5,9.2,-8.1,2.3,3.6,13.48912375
0,,Gl 442 B,,9.2,2.9,-8.1,3.3,15.17173829
0,,Gl 451 B,,9.2,-2.5,0.5,8.8,12.19131204
15457,,96 Kappa 1 Ceti,G5Vvar,9.2,-6.7,0.2,-6.3,5.01071545
40501,1,GJ 2066,,9.2,-6.4,-5.7,3,10.29170967
57443,,Gl 442,G3/G5V,9.2,2.9,-8.1,3.3,5.071738292
57939,,Groombridge 1830,G8Vp,9.2,-2.5,0.5,8.8,6.641312036
64394,1,43 Beta Comae Berenices,G0V,9.2,0.5,0.5,9.1,4.451709668
105858,,Gamma Pavonis,F6V,9.2,6,-3.7,-6,4.397148691
0,,Gl 176,dM2.5e,9.3,-8.9,0,-2.8,10.13502141
0,,NN 3380,m,9.3,-8.6,2.6,2.1,14.6330938
0,,GJ 1253,M5,9.3,-0.6,9.1,1.9,14.19906136
23512,1,NN 3325,K:,9.3,-6.3,-4.8,-4.8,11.85430208
23932,1,Gl 190,M5,9.3,-6.2,-5,-4.7,10.45299861
9724,,Gl 84,M3,9.4,-3.1,-0.4,-8.9,10.31529984
21932,1,BD+18°683,M2,9.4,-9,0,-2.8,10.07980455
29277,1,Gl 226,M3,9.4,-5.6,6.4,4,10.63532031
0,,GJ 1065,dM4,9.5,-6.8,-1.8,-6.4,12.89387744
0,,NN 3306,DQ7,9.5,-7.2,-3.4,-5.3,13.87801358
0,,Gl 432 B,m,9.5,2.2,-8.2,4.4,15.10263506
0,,NN 3988,k-m,9.5,1.5,7.4,5.8,13.6700787
9786,1,NN 3135,K:...,9.5,-1.8,-2,-9.1,12.26914196
47425,1,Gl 358,M:,9.5,-0.3,-9.4,1.4,10.86296657
56452,,Gl 432,K0V,9.5,2.2,-8.2,4.4,6.082635061
56997,,61 Ursae Majoris,G8Vvar,9.5,-2.7,-0.2,9.1,5.432013605
86776,1,BD+43°2796,M3,9.5,2.9,7.7,4.8,10.58399702
0,,GJ 1001,M3.5,9.6,2.5,-1.1,-9.2,12.92933859
0,,NN 3253,M4.5,9.6,-8.5,1,-4.5,13.7851667
0,,NN 3275,dM4.5e,9.6,-9,0.6,-3.5,12.9851667
0,,Gl 633,M3,9.6,8.9,-3.5,0.1,12.77765842
0,,GJ 1207,dM3.5,9.6,8.5,2.3,3.7,12.37350249
0,,NN 3855,M6.5,9.7,-1.2,5.7,7.8,17.95050161
46655,,GJ 1125,K:...,9.7,-4.7,-6.4,5.5,11.78596021
61629,1,Gl 479,M3,9.7,4.9,-8.1,1.8,10.7455408
0,,Gl 102,M4,9.8,-7.2,4.1,-5.2,13.01149978
0,,GJ 1138,m,9.8,-4.4,-0.6,8.7,13.07149978
0,,GJ 1256,dM4-5,9.8,4.7,8.2,-2.7,13.46446854
31635,,Gl 239,M1:,9.8,-9.4,-2.7,0.8,9.664254802
47780,,Gl 367,M1:,9.8,0.4,-9.8,1,10.15023153
72944,,Gl 569,M2Ve,9.8,4.7,1.6,8.5,10.24108401
81300,,12 Ophiuchi,K2V,9.8,8.4,2,4.7,5.79874128
82003,1,BD+33°2777,K7V,9.8,4.3,6.2,6.3,8.160439235
86057,1,Gl 680,K5,9.8,9.2,-3,-1.5,10.19937817
0,,GJ 2012,DQ9,9.9,-0.1,0.9,-9.9,14.54730266
0,,NN 3049,M4,9.9,1.5,-1.9,-9.6,13.12160687
71898,,Wo 9492,M3,9.9,-1.9,6.4,7.3,10.8589045
84581,,Hip 84581,,9.9,9.2,2.4,2.9,11.10924061
102409,,Gl 803,M1Ve,9.9,7.8,1.7,-6,8.822774041
0,,GJ 1028,m,10,-1.3,1,-9.9,14.46
0,,NN 3119,m,10,-4,1.5,-9,14.6
0,,NN 3126,M4,10,-6.5,7.6,0.3,11.03
0,,NN 3304,m,10,-9.7,1.4,-2.1,12.53
0,,NN 3512,m,10,-7.4,3.1,6,15.05433861
0,,NN 3959,m+,10,3.1,6.6,6.8,14.79
0,,NN 3976,m,10,6,5.4,5.9,14.08
0,,NN 4248,M3.5,10,6,0.7,-8,11.8
8362,,Gl 75,K0V,10,-6.3,7.7,0.3,5.63520529
76362,,Hip 76362,,10,6,-7.3,-3.4,11.64782744
85665,1,BD+05°3409,M1V...,10,8.2,4.5,3.5,9.303688369
0,,Gl 22 B,dM3.5,10.1,-5.2,8.6,0.8,12.37246561
0,,NN 3079,DAwk,10.1,-3.1,3.1,-9.1,14.06817597
0,,Gl 609,M3,10.1,5.7,4,7.2,12.54693192
2552,,Gl 22,M2.5Ve,10.1,-5.2,8.6,0.8,10.35246561
4872,1,BD+61°195,K5V...,10.1,-5.7,8.3,-0.1,9.547805578
29271,1,Alpha Mensae,G5V,10.1,2.4,-8.6,-4.9,5.04806279
68184,1,BD+62°1325,K3V,10.1,-2,5.6,8.2,6.467517851
94349,,Gl 748,M4,10.1,8,6.2,-0.6,11.06850347
0,,Gl 127.1B,,10.2,2,-7,-7,14.69718115
0,,NN 3526,m,10.2,-6.7,4.5,6.1,12.61276759
0,,GJ 1129,m,10.2,-2.7,-8.8,4.5,12.55613038
0,,NN 3571,m,10.2,-5.7,-3.5,7.7,14.00613038
0,,Gl 568 B,,10.2,4,2.6,9,12.65236027
0,,GJ 1235,k-m,10.2,5.8,8.3,0.5,13.34497549
0,,Gl 799 B,dM4.5e,10.2,8.1,1.6,-6.1,10.95169427
0,,Gl 852,dM4.5e,10.2,4.1,5.3,-7.7,13.35834504
0,,Gl 852 B,dM5 e,10.2,4.1,5.3,-7.7,14.35834504
14754,,Gl 127.1,DA,10.2,2,-7,-7,11.36718115
21553,1,BD+52°857,K8V,10.2,-9.1,4.6,0.7,8.568787698
50798,,Hip 50798,,10.2,1.5,-10,1.4,11.44989395
57087,1,Gl 436,M3,10.2,-2.3,-1.4,9.9,10.62013949
58345,1,Gl 453,K4V,10.2,2.7,-8,5.7,6.939672749
62556,1,Gl 487,M4,10.2,-3.5,5.4,7.9,10.85923027
68469,1,BD-01°2892,K5,10.2,5.2,-2.4,8.4,9.661883799
72896,,Gl 568,,10.2,4,2.6,9,12.14236027
102141,,Gl 799,Mpe,10.2,8.1,1.6,-6.1,10.94169427
117828,1,Hip 117828,M...,10.2,4.7,-6.1,-6.7,9.955637426
0,,NN 3182,DC9,10.3,-7.8,6.7,-0.8,15.25385867
0,,GJ 1083,m,10.3,-10.3,-0.5,-0.6,14.77713237
0,,Gl 339.1,DXP7,10.3,-7.3,2.1,7,13.77713237
37826,,Pollux,K0IIIvar,10.3,-9.3,-2,4.1,1.068030415
83043,1,BD+25°3173,M2,10.3,5.8,6.1,6,9.581618885
108782,1,BD+00°4810,M0,10.3,3.8,6.9,-6.7,9.113410899
0,,NN 3147,m+,10.4,-7.4,5.8,-4.2,15.91488563
0,,Gl 170,M4.5,10.4,-9.9,3.2,-1.1,13.81909304
0,,GJ 1119,m,10.4,-7.7,0.9,6.8,13.24488563
0,,GJ 1134,m,10.4,-5.1,-0.3,9.1,12.89587536
0,,53 Xi Ursae Majoris,G0 Ve,10.4,-3.6,-1,9.7,4.241356165
0,,53 Xi Ursae Majoris,G0 Ve,10.4,-3.6,-1,9.7,4.711356165
0,,Gl 452.1,M3.5,10.4,-0.5,-3.9,9.7,12.68361694
0,,Gl 508 B,,10.4,-1.3,3.6,9.7,9.720610414
0,,NN 4071,m,10.4,7.4,7.2,1.5,12.72135617
0,,GJ 1265,m,10.4,4.9,4,-8.3,13.47682755
10279,,Gl 87,M3V:,10.4,-5.7,2.3,-8.4,9.977680408
13402,,Gl 117,K1V,10.4,-5.3,-1.1,-8.8,5.948807801
65026,,Gl 508,K0,10.4,-1.3,3.6,9.7,8.860610414
